Le Clos Perault	LINESTRING (2.3987353 48.7119646, 2.3986907 48.7120097, 2.3985193 48.712135, 2.3984632 48.7121774, 2.3985586 48.7122332, 2.3987687 48.7123602, 2.3989429 48.7124688, 2.3993315 48.7127114, 2.3994054 48.7127549, 2.3996174 48.7128793, 2.3999284 48.7130618, 2.3998774 48.713099)
Le Clos Perault	LINESTRING (2.3993315 48.7127114, 2.399483 48.7126027, 2.3996425 48.7124877, 2.3992911 48.7122682, 2.3994043 48.7121808)
Le Clos Perault	LINESTRING (2.399483 48.7126027, 2.3991331 48.7123832, 2.3992911 48.7122682)
Le Clos Perault	LINESTRING (2.3979522 48.712075, 2.3976051 48.7118581)
Rue de la Résidence du Clos Pérault	LINESTRING (2.3968799 48.7099309, 2.3971913 48.7101343, 2.3976307 48.710406, 2.3979525 48.7106118, 2.3980995 48.7107002, 2.3982037 48.7107909, 2.3982424 48.7108441, 2.3982764 48.7109008, 2.3982825 48.7109617)
Rue de la Résidence du Clos Pérault	LINESTRING (2.3982825 48.7109617, 2.3982736 48.7110133, 2.3982609 48.7110603, 2.3982464 48.7111043, 2.3982181 48.7111508, 2.3981363 48.7112233, 2.3980512 48.7112801, 2.3980028 48.7113124, 2.3977883 48.7114439, 2.3976702 48.711493, 2.3975036 48.7115383)
Rue de la Résidence du Clos Pérault	LINESTRING (2.3977766 48.7116019, 2.397766 48.7115178, 2.3977883 48.7114439)
Le Clos Perault	LINESTRING (2.3983029 48.7130947, 2.3980978 48.7129744, 2.3979726 48.712901, 2.3978131 48.7128068, 2.3977884 48.7127923, 2.3977621 48.7127766, 2.3972341 48.7124425)
Le Clos Perault	LINESTRING (2.3978188 48.7130071, 2.397612 48.7128795, 2.3973434 48.7127181, 2.3971024 48.7125667, 2.3970864 48.7125501, 2.3969916 48.7124516, 2.396831 48.7122708, 2.3967345 48.7121565, 2.3966936 48.7121246, 2.3966375 48.7121034, 2.3965979 48.7120957, 2.3965651 48.7121086)
Le Clos Perault	LINESTRING (2.397612 48.7128795, 2.3977621 48.7127766)
Rue Valentin Conrart	LINESTRING (2.3883888 48.707899, 2.3882628 48.7080218, 2.3882375 48.7080465)
Avenue Camélinat	LINESTRING (2.3792393 48.7099078, 2.3793271 48.7099211, 2.3804972 48.7100982, 2.3806726 48.7101248, 2.3808584 48.710153, 2.3820996 48.7103417, 2.382305 48.7103729)
Rue du Chemin des Femmes	LINESTRING (2.2650114 48.7279853, 2.2650346 48.7279672, 2.2650853 48.7279175, 2.265108 48.7278945, 2.2655215 48.7274762, 2.2658047 48.727189, 2.2663259 48.7266782, 2.2663797 48.7266255, 2.2665315 48.7264773, 2.2666253 48.72639, 2.2670385 48.7259832, 2.2670617 48.7259606, 2.2674442 48.7256009, 2.2680849 48.7249933, 2.2682874 48.7247971, 2.268304 48.7247821, 2.2683658 48.724722)
Rue Maurice Gunsbourg	LINESTRING (2.4144617 48.7211994, 2.4144243 48.7211416, 2.4143375 48.721015, 2.4143201 48.7209885, 2.4141875 48.7207977, 2.4141409 48.7207424, 2.4141143 48.7207175, 2.4137811 48.7204113, 2.4133273 48.7200055, 2.4128993 48.7196184, 2.4125295 48.7193027, 2.4124534 48.7192469, 2.4122782 48.7191548, 2.411602 48.7189107, 2.4114903 48.7188501, 2.4111168 48.7185963, 2.4102035 48.7181353, 2.4100218 48.7180483, 2.4099614 48.718012, 2.4098743 48.7179841, 2.4097566 48.7180103)
Avenue de l'Europe	LINESTRING (2.4107088 48.7219666, 2.4104971 48.7217063, 2.4100614 48.721193, 2.4099285 48.7210077, 2.4095507 48.720416, 2.4094935 48.7203278, 2.4092354 48.7199901, 2.4090528 48.7197975, 2.4088777 48.719639, 2.4088053 48.7195759, 2.4084781 48.7192941, 2.4084661 48.719284, 2.4083695 48.7192025, 2.40809 48.7189881, 2.4078125 48.7187847, 2.4075924 48.718628, 2.4074402 48.7185119, 2.4073129 48.7184202, 2.4072291 48.7183614, 2.4071133 48.7182791, 2.4070851 48.7182599)
Avenue Marcel Sembat	LINESTRING (2.3824972 48.7086736, 2.3826627 48.7086865, 2.3828757 48.7087032)
